id,name,asins,brand,categories,keys,manufacturer,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,numReviews,Sentiment_Score,Average Sentiment Score
AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B018Y229OU,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys","firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,2016-10-19T00:00:00.000Z,2017-05-21T01:21:53Z,"2017-04-30T00:09:00.000Z,2017-06-07T08:16:00.000Z",None,True,r7337,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=485,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=519",My husband bought one and really liked the tablet could fit in his pocket,Good choice for small tablet,None,None,Kmhsnow,10966,4,3.442857142857143
AVpfl8cLLJeJML43AE3S,"Amazon Fire Tv,,,
Amazon Fire Tv,,,","B00L9EPT8O,B01E6AO69U",Amazon,"Stereos,Remote Controls,Amazon Echo,Audio Docks & Mini Speakers,Amazon Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,Kindle Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Amazon Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Amazon Devices,Audio,Holiday Shop","echowhite/263039693056,echowhite/152558276095,echowhite/292178880467,echowhite/222588935706,echowhite/253120140398,echowhite/322577436254,echowhite/122597356284,echowhite/132263972952,echowhite/322586415668,echowhite/152626395386,echowhite/272724680159,echowhite/222587602421,echowhite/122474318097,echowhite/5588528,echowhite/112567699636,echowhite/272768463386,echowhite/332175902683,echowhite/311908601694,echowhite/292041139369,echowhite/192239032596,echowhite/272768869474,0841667112862,echowhite/222507973621,echowhite/112391858963,echowhite/291992370210,echowhite/b00l9ept8o,echowhite/112480241614,echowhite/b01e6ao69u,echowhite/322589755316,echowhite/322574315372,echowhite/253051886606,echowhite/382165760287,echowhite/222582493180,echowhite/282581384521,echowhite/112479310908,echowhite/302201691992,echowhite/201761456849,echowhite/amechow2k,echowhite/132262816901,echowhite/282571823011,echowhite/322511136772,841667112862,echowhite/232407174148,echowhite/322441917397,echowhite/amechow,echowhite/332296207643,echowhite/152610914446,echowhite/222578584785,echowhite/162591117080,echowhite/162593787621,echowhite/232407374203,echowhite/162595518416,echowhite/152623638099,amazon/b01e6ao69u",Amazon,2017-01-27T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z,2017-08-08T00:00:00Z,2017-08-15T00:00:00Z,2017-08-01T00:00:00Z",None,True,r27223,0.0,5.0,"http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=438,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=365,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=369,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=339,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=271,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=278,http://reviews.bestbuy.com/3545/5588528/reviews.htm?format=embedded&page=263",Really enjoys it and all the different options you can use it for!,was a gift for my son,None,None,okay,6619,4,3.325
AV1YnRtnglJLPUi8IJmV,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",B00OQVZDJM,Amazon,"Walmart for Business,Office Electronics,Tablets,Office,Electronics,iPad & Tablets,Windows Tablets,All Windows Tablets,Computers & Tablets,E-Readers & Accessories,E-Readers,eBook Readers,Kindle E-readers,Computers/Tablets & Networking,Tablets & eBook Readers,Electronics Features,Books & Magazines,Book Accessories,eReaders,TVs & Electronics,Computers & Laptops,Tablets & eReaders","amazon/b00oqvzdjm,848719056099,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/263087494445,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/9439005,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/b00oqvzdjm,0848719056099,amazonkindlepaperwhiteebookreader4gb6monochromepaperwhitetouchscreenwifiblack/00355266000p",Amazon,2016-08-06T00:00:00.000Z,2017-09-05T22:09:30Z,"2017-08-31T22:33:29.893Z,2017-08-02T19:51:52.695Z,2017-08-02T22:15:10.803Z",None,True,r18910,0.0,5.0,"http://reviews.bestbuy.com/3545/9439005/reviews.htm?format=embedded&page=222,http://reviews.bestbuy.com/3545/9439005/reviews.htm?format=embedded&page=207",Great reading experience. All your books in one place. Compact. Excellent!!,Love my new Kindle Paperwhite.,None,None,Krishna,3176,4,3.4166666666666665
AVpjEN4jLJeJML43rpUe,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B018Y225IA,Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets","841667103143,0841667103143,brandnewamazonkindlefire16gb7ipsdisplaytabletwifi16gbblue/5025500,brandnewamazonkindlefire16gb7ipsdisplaytabletwifi16gbblue/b018y225ia,brandnewamazonkindlefire16gb7ipsdisplaytabletwifi16gbblue/201625338826,brandnewamazonkindlefire16gb7ipsdisplaytabletwifi16gbblue/362123960192,amazon/b018y225ia",Amazon,2016-12-14T00:00:00.000Z,,"2017-08-27T00:00:00Z,2017-08-09T00:00:00Z,2017-04-30T00:00:00Z,2017-06-07T00:00:00Z,2017-07-08T00:00:00Z,2017-08-06T00:00:00Z,2017-08-19T00:00:00Z",None,True,r14982,0.0,5.0,"http://reviews.bestbuy.com/3545/5025500/reviews.htm?format=embedded&page=68,http://reviews.bestbuy.com/3545/5025500/reviews.htm?format=embedded&page=67,http://reviews.bestbuy.com/3545/5025500/reviews.htm?format=embedded&page=49,http://reviews.bestbuy.com/3545/5025500/reviews.htm?format=embedded&page=56,http://reviews.bestbuy.com/3545/5025500/reviews.htm?format=embedded&page=64",Gave this to my son who breaks everything and so far has lasted through a couple drops. Easy to use and upload content.,Durable,None,None,John,1038,4,3.6666666666666665
AVqVGWQDv8e3D1O-ldFr,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",B018SZT3BK,Amazon,"Fire Tablets,Tablets,Computers & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers","amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/5538501,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/b018szt3bk,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/182378029308,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/322430145717,841667103037,0841667103037,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/152627691815,amazon/b018szt3bk,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/332403091354,amazonfirehd88intablet16gbblackb018szt3bk6thgen2016android/322598029639",Amazon,2017-06-30T00:00:00.000Z,,"2017-08-09T00:00:00Z,2017-08-06T00:00:00Z",None,True,r21474,0.0,4.0,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=12,"This tablet really help me out, as a great gift for my nephew",Great for kids,None,None,FREDITO,270,4,3.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2017-01-16T00:00:00.000Z,2017-05-21T06:02:46Z,"2017-04-30T00:45:00.000Z,2017-06-07T09:04:00.000Z",None,True,r2263,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=154,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=187","It's good budget tablet for someone who wants to use light apps, video streaming, and internet.1.5gb ram is enough for most apps.16g memory and sd card slot gives enough space.",Good budget tablet,None,None,kodisk,2814,3,3.4
AV1YnR7wglJLPUi8IJmi,"Echo (White),,,
Echo (White),,,",B00TSUGXKE,Amazon,"Electronics Features,Fire Tablets,Computers & Tablets,Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers","amazon/b00tsugxke,0848719062854,firetablet7displaywifi8gbincludesspecialoffersblack/b00tsugxke,848719062854,firetablet7displaywifi8gbincludesspecialoffersblack/4390200,firetablet7displaywifi8gbincludesspecialoffersblack/322581680105",Amazon,2017-06-16T00:00:00.000Z,,"2017-08-09T00:00:00Z,2017-07-08T00:00:00Z,2017-08-06T00:00:00Z,2017-08-19T00:00:00Z",None,True,r21615,0.0,4.0,"http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=32,http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=16,http://reviews.bestbuy.com/3545/4390200/reviews.htm?format=embedded&page=41",Friendly to use . Size was perfect and easy insts.,Loved tablet,None,None,Kindle,372,4,2.0
AVqVGZO3nnc1JgDc3jGK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",B00VINDBJK,Amazon,"eBook Readers,Kindle E-readers,Computers & Tablets,E-Readers & Accessories,E-Readers","kindleoasisereaderwithleatherchargingcovermerlot6highresolutiondisplay300ppiwifiincludesspecialoffers/5234468,amazon/b00vindbjk,kindleoasisereaderwithleatherchargingcovermerlot6highresolutiondisplay300ppiwifiincludesspecialoffers/b00vindbjk,848719069587,0848719069587",Amazon,2016-12-07T00:00:00.000Z,2017-05-21T06:31:24Z,"2017-04-26T10:39:00.000Z,2017-05-10T07:36:00.000Z,2017-06-04T04:40:00.000Z,2017-07-07T23:18:00.000Z",None,True,r2872,0.0,5.0,"http://reviews.bestbuy.com/3545/5234468/reviews.htm?format=embedded&page=4,http://reviews.bestbuy.com/3545/5234468/reviews.htm?format=embedded&page=5",Bought for my wife to upgrade from the original Kindle that she has worn out. Big step up from the original and should be good for another 8-10 years.,Great E-Reader,None,None,Olds442,67,3,3.0
AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",B018Y23MNM,Amazon,"Tablets,Fire Tablets,Computers & Tablets,All Tablets","firekidseditiontablet7displaywifi16gbgreenkidproofcase/b018y23mnm,841667103402,0841667103402,firekidseditiontablet7displaywifi16gbgreenkidproofcase/5026300,amazon/b018y23mnm",Amazon,2017-05-04T00:00:00.000Z,2017-06-21T07:38:17Z,"2017-06-04T02:17:38.348Z,2017-06-03T18:41:55.330Z",None,True,r16896,0.0,4.0,http://reviews.bestbuy.com/3545/5026300/reviews.htm?format=embedded&page=21,Overall very good product for kid. Much robust and easy to operate.Only downside is that it is sometimes very slow.,Good for kid,None,None,KumarAbhishek03,1685,3,3.0
AVsRjfwAU2_QcyX9PHqe,"All-New Kindle E-reader - Black, 6 Glare-Free Touchscreen Display, Wi-Fi -  Includes Special Offers,,",B01J2G4VBG,Amazon,"Amazon Devices & Accessories,Amazon Device Accessories,Power Adapters & Cables,Kindle Store,Kindle E-Reader Accessories,Kindle Paperwhite Accessories","0841667120171,841667120171,amazon5wusbofficialoemchargerpoweradapterforfiretabletskindleereaders/b01j2g4vbg",Amazon,2017-09-26T00:00:00.000Z,,2017-12-30T00:00:00Z,None,,r3378,,5.0,https://www.amazon.com/product-reviews/B01J2G4VBG/,It works like it's supposed to. Use it for charging my new Kindle.,Works like it should,None,None,Amazon Shopper,402,3,3.5
AVphPmHuilAPnD_x3E5h,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",B00IOY8XWQ,Amazon,"Walmart for Business,Office Electronics,Tablets,Electronics,iPad & Tablets,All Tablets,Computers & Tablets,E-Readers & Accessories,Kindle E-readers,Electronics Features,eBook Readers,See more Amazon Kindle Voyage (Wi-Fi),See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...","848719040104,kindlevoyageereader6highresolutiondisplay300ppiwithadaptivebuiltinlightpagepresssensorswifiincludesspecialoffers/b00ioy8xwq,0848719040104,kindlevoyageereader6highresolutiondisplay300ppiwithadaptivebuiltinlightpagepresssensorswifiincludesspecialoffers/321689278417,kindlevoyageereader6highresolutiondisplay300ppiwithadaptivebuiltinlightpagepresssensorswifiincludesspecialoffers/9302088,amazon/53002680",Amazon,2014-10-24T00:00:00.000Z,,"2017-08-31T00:00:00Z,2017-03-31T00:00:00Z,2017-03-21T00:00:00Z,2017-03-05T00:00:00Z,2017-04-26T00:00:00Z,2017-05-10T00:00:00Z,2017-06-04T00:00:00Z,2017-07-07T00:00:00Z,2017-08-02T00:00:00Z",None,True,r20663,4.0,5.0,"http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=72,http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=68,http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=67,http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=69,http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=70,http://reviews.bestbuy.com/3545/9302088/reviews.htm?format=embedded&page=71",This is definitely the Rolls Royce of the e-readers love all the new features that it has. Upgraded from the paperwhite to the voyage.,Rolls Royce,None,None,hgaynor,580,4,3.8333333333333335
AVqVGZNvQMlgsOJE6eUY,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",B00ZV9PXP2,Amazon,"Electronics,iPad & Tablets,All Tablets,Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,E-Readers & Accessories,E-Readers,Used:Computers Accessories,Used:Tablets,Computers,iPads Tablets,Kindle E-readers,Electronics Features","allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/391843532825,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/b00zv9pxp2,0848719083774,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/252974470193,amazon/b00zv9pxp2,848719083774,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/322538285013,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/5442403,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/kier2016bk,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/162691587356,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/1631053",Amazon,2017-07-07T00:00:00.000Z,,"2017-08-31T00:00:00Z,2017-08-09T00:00:00Z,2017-07-31T00:00:00Z,2017-07-26T00:00:00Z,2017-07-09T00:00:00Z,2017-08-02T00:00:00Z,2017-08-01T00:00:00Z",None,True,r3633,0.0,5.0,"http://reviews.bestbuy.com/3545/5442403/reviews.htm?format=embedded&page=3,http://reviews.bestbuy.com/3545/5442403/reviews.htm?format=embedded&page=2,http://reviews.bestbuy.com/3545/5442403/reviews.htm?format=embedded","It's exactly what you'd think it would be. No more, no less...a perfect e-reader for traveling and backpacking.",Awesome,None,None,Updt,212,4,4.0
AVpftoij1cnluZ0-p5n2,"Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",B00IOYAM4I,Amazon,"Computers & Tablets,E-Readers & Accessories,eBook Readers,Kindle E-readers","amazonkindlevoyage4gbwifi3gblack/9301112,amazon/b00ioyam4i,0848719040098,848719040098,amazonkindlevoyage4gbwifi3gblack/b00ioyam4i",Amazon,2015-05-07T00:00:00.000Z,2017-09-19T15:09:00Z,"2017-09-09T09:54:00.000Z,2017-08-31T22:37:00.000Z,2016-02-01T00:00:00.000Z",None,True,r14703,4.0,4.0,"http://reviews.bestbuy.com/3545/9301112/reviews.htm?format=embedded&page=4,http://reviews.bestbuy.com/3545/9301112/reviews.htm?format=embedded&page=3,http://reviews.bestbuy.com/3545/9301112/reviews.htm?format=embedded&page=2","The touch control, page change controls, are a little to sensitive. Web browser ""too"" experimental.",Good over all,None,None,Truespeaker,51,2,2.0
AV1YE_muvKc47QAVgpwE,No Name,B00U3FPN4U,Amazon Fire Tv,"Back To College,College Electronics,College Tvs & Home Theater,Electronics,Tvs & Home Theater,Streaming Devices,Featured Brands,Amazon Devices,Holiday Shop,Ways To Shop,TV & Home Theater,Streaming Media Players,All Streaming Media Players,TVs Entertainment,Video Games,Kindle Store,Electronics Features,Kids & Family,Fire TV","848719057492,amazonfiretv/51454342,amazonfiretv2015modelblack/4370400,amazon/b00u3fpn4u,amazonfiretvstreamingmediaplayer/b00u3fpn4u,0848719057492,firetvstreamingmediaplayer2015model/amftv2,firetv/05740864000p",Amazon,2016-07-22T00:00:00.000Z,2017-09-20T05:35:59Z,"2017-08-25T22:40:22.833Z,2017-08-19T09:25:22.989Z,2017-08-08T17:26:39.864Z,2017-08-06T13:28:15.247Z",None,False,r30180,1.0,2.0,"http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=432,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=427,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=409,http://reviews.bestbuy.com/3545/4370400/reviews.htm?format=embedded&page=408",I had a hard time trying to stream movies even with a good internet connection ....was a little disappointed,Doesn't stream very well,None,None,Domsmom31,5056,2,3.5555555555555554
AVpfpK8KLJeJML43BCuD,No Name,B01BH83OOM,Amazon Echo,"Featured Brands,Electronics,Amazon Devices,Home,Home Improvement,Home Safety & Security,Home Security,Alarms & Sensors,Smart Home & Home Automation Devices,Mobile,Mobile Speakers,Mobile Bluetooth Speakers,Smart Hubs & Wireless Routers,Smart Hubs,Home, Garage & Office,Smart Home,Voice Assistants,Smart Home & Connected Living,Amazon Tap,Portable Audio,MP3 Accessories,Speakers,Amazon Echo,Electronics Features,TVs & Electronics,Portable Audio & Electronics,MP3 Player Accessories,Home Theater & Audio,Kindle Store,Frys,Electronic Components,Home Automation,Electronics, Tech Toys, Movies, Music,Audio,Bluetooth Speakers","amazonecho/b01bh83oom,amazon/b01bh83oom,amazonamazontapportablebluetoothwifispeakerblack/5097300,amazonamazontapportablebluetoothwifispeakerblack/1001803403,841667107929,0841667107929,amazonamazontapportablebluetoothwifispeakerblack/05743627000p,amazonamazontapportablebluetoothwifispeakerblack/amtap,amazonamazontapportablebluetoothwifispeakerblack/b01bh83oom",Amazon,2016-12-14T00:00:00.000Z,,"2017-09-28T00:00:00Z,2017-09-08T00:00:00Z,2017-09-12T00:00:00Z,2017-08-31T00:00:00Z,2017-08-15T00:00:00Z,2017-05-02T00:00:00Z,2017-05-10T00:00:00Z,2017-06-03T00:00:00Z,2017-08-01T00:00:00Z",None,True,r29528,0.0,5.0,"http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=53,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=50,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=48,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=44,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=30,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=31,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=33,http://reviews.bestbuy.com/3545/5097300/reviews.htm?format=embedded&page=43",What a terrific device. You can ask it anything and she has an answer. It's small enough to place anywhere so it doesn't look instructive,My new best friend,None,None,Rigbyabador,636,4,2.75
AVpidLjVilAPnD_xEVpI,No Name,B0189XYY0Q,Amazon Fire,"Electronics,Tablets & E-Readers,Tablets,Back To College,College Electronics,College Ipads & Tablets,Featured Brands,Amazon Devices,Electronics Deals,Computers & Tablets,All Tablets,Electronics Features,eBook Readers","841667101743,amazonfire/51441641,amazonfirehd1016gb5thgen2015releasesilveraluminum/5386601,0841667101743,firehd10tablet101hddisplaywifi16gbincludesspecialofferssilveraluminum/b0189xyy0q,amazon/51441641,amazonfirehd10101tablet16gbsilveraluminum/5386601",Amazon,2017-02-13T00:00:00.000Z,,"2017-09-03T08:45:21.499Z,2017-08-27T11:01:00.330Z,2017-08-09T19:06:44.773Z,2017-04-30T01:49:52.622Z,2017-07-08T07:19:34.042Z,2017-07-09T20:19:03.463Z,2017-08-19T03:58:40.128Z",None,True,r28730,0.0,5.0,"http://reviews.bestbuy.com/3545/5386601/reviews.htm?format=embedded&page=23,http://reviews.bestbuy.com/3545/5386601/reviews.htm?format=embedded&page=20,http://reviews.bestbuy.com/3545/5386601/reviews.htm?format=embedded&page=7,http://reviews.bestbuy.com/3545/5386601/reviews.htm?format=embedded&page=15,http://reviews.bestbuy.com/3545/5386601/reviews.htm?format=embedded&page=22",This is a wonderful tablet. It's lite weight and super simple to use. I bought one for myself and thinking of getting one for my grandmother.,Great tablet,None,None,Rach,256,4,4.0
